title,body,labels,assignee
Why are total points and average grade not tabulating?,"Priority: CRITICAL, Status: Completed",bug,hey-samir
Fix success rate chart - Sends / (Sends + Attempts) by date,"Priority: CRITICAL, Status: Completed",enhancement,hey-samir
Fix sorting for colors in Sessions,"Priority: , Status: Incomplete",enhancement,hey-samir
Add a favicon - Create via Canva - an S inside a white circle,"Priority: HIGH, Status: Incomplete",enhancement,hey-samir
Ensure website is truly responsive for various screen sizes,"Priority: HIGH, Status: Completed",bug,hey-samir
Add Square web payments to app - Used to buy custom avatars (and eventually subscriptions),"Priority: HIGH, Status: Incomplete",enhancement,hey-samir
"Add single select for type of climb - Auto, Toprope, B/D","Priority: HIGH, Status: Incomplete",enhancement,hey-samir
Make it so new entry carries default of prior entry,"Priority: HIGH, Status: Incomplete",bug,hey-samir
Fix Sessions arrows,"Priority: , Status: Incomplete",enhancement,hey-samir
Adjust the background colors of the divs to match,"Priority: MEDIUM, Status: Incomplete",bug,hey-samir
Fix error dialogs,"Priority: , Status: Incomplete",enhancement,hey-samir
Fix Donut chart styling and coloring,"Priority: MEDIUM, Status: Incomplete",enhancement,hey-samir
Fix highest grade label,"Priority: MEDIUM, Status: Incomplete",enhancement,hey-samir
Ratings module - Reset and allow clear,"Priority: MEDIUM, Status: Incomplete",bug,hey-samir
Fix the formatting of the tables so that all info shows without scrolling,"Priority: MEDIUM, Status: Completed",enhancement,hey-samir
Fix display in default state with no climbs,"Priority: MEDIUM, Status: Completed",enhancement,hey-samir
Kill caliber in Sessions,"Priority: MEDIUM, Status: Completed",bug,hey-samir
Increase size of Grade,"Priority: MEDIUM, Status: Completed",bug,hey-samir
Change profile icon to Mood,"Priority: MEDIUM, Status: Completed",bug,hey-samir
Fix avatars to have clear background,"Priority: MEDIUM, Status: Completed",enhancement,hey-samir
Make username fully visible,"Priority: MEDIUM, Status: Completed",bug,hey-samir
Fix attempts display,"Priority: MEDIUM, Status: Completed",enhancement,hey-samir
Reduce cell padding in sessions and standings tables,"Priority: MEDIUM, Status: Completed",bug,hey-samir
Change icon for stats (doesn't look like a graph),"Priority: MEDIUM, Status: Completed",bug,hey-samir
Prevent Notes text area from auto-collapsing with text input,"Priority: MEDIUM, Status: Completed",bug,hey-samir
Show the current average rating of a wall when you select it,"Priority: MEDIUM, Status: Incomplete",bug,hey-samir
Show the Ratings back in Sessions but make it X/5 instead of the dots,"Priority: MEDIUM, Status: Incomplete",bug,hey-samir
More KPIs,"Priority: MEDIUM, Status: Completed",bug,hey-samir
Update Profile tab to include:,"Priority: MEDIUM, Status: Incomplete",bug,hey-samir
Build Squads feature to recreate belay partner matching:,"Priority: MEDIUM, Status: Incomplete",bug,hey-samir
